시즌,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
22,김현수,LG,141,604,524,150,23,78,106,71,62,2,0.287,0.286,0.375,0.473,0.848,0.375,4
22,한유섬,SSG,135,545,458,121,21,62,100,66,137,1,0.328,0.264,0.372,0.478,0.85,0.378,3.95
22,문보경,LG,126,466,406,128,9,52,56,47,56,7,0.342,0.315,0.382,0.451,0.833,0.372,3.82
22,김혜성,Hero,129,566,516,164,4,81,48,47,83,34,0.37,0.318,0.373,0.399,0.772,0.35,3.8
22,이대호,롯데,142,591,540,179,23,53,101,43,56,0,0.334,0.331,0.379,0.502,0.881,0.383,3.76
22,박성한,SSG,140,564,494,147,2,68,56,60,81,12,0.351,0.298,0.375,0.374,0.749,0.347,3.74
22,한동희,롯데,129,499,456,140,14,43,65,33,64,0,0.33,0.307,0.359,0.458,0.817,0.362,3.71
22,푸이그,Hero,126,547,473,131,21,65,73,58,99,6,0.308,0.277,0.367,0.474,0.841,0.375,3.7
22,박병호,KT,124,487,429,118,35,72,98,40,131,5,0.309,0.275,0.349,0.559,0.908,0.389,3.67
22,안치홍,롯데,132,562,493,140,14,71,58,51,52,7,0.292,0.284,0.354,0.436,0.79,0.352,3.38
22,정은원,한화,140,601,508,139,8,67,49,85,109,10,0.332,0.274,0.377,0.368,0.745,0.349,3.35
22,장성우,KT,117,420,362,94,18,48,55,52,79,1,0.284,0.26,0.353,0.439,0.792,0.354,3.33
22,노진혁,NC,115,451,396,111,15,50,75,44,105,2,0.342,0.28,0.353,0.455,0.808,0.356,3.32
22,김선빈,KIA,140,587,505,145,3,51,61,65,47,13,0.31,0.287,0.373,0.35,0.723,0.34,3.27
22,마티니,NC,139,576,510,151,16,67,85,51,86,12,0.325,0.296,0.365,0.461,0.826,0.365,3.25
22,박동원,KIA,112,407,352,86,17,51,53,38,87,1,0.277,0.244,0.333,0.44,0.773,0.343,2.97
22,허경민,두산,121,493,432,125,8,59,60,36,40,10,0.299,0.289,0.36,0.398,0.758,0.345,2.94
22,박해민,LG,144,636,570,165,3,97,49,44,85,24,0.332,0.289,0.347,0.368,0.715,0.329,2.87
22,홍창기,LG,118,525,437,125,1,76,51,59,75,13,0.339,0.286,0.39,0.355,0.745,0.356,2.85
22,추신수,SSG,112,499,409,106,16,77,58,71,100,15,0.303,0.259,0.382,0.43,0.812,0.373,2.77
22,렉스,롯데,56,251,218,72,8,32,34,26,44,3,0.381,0.33,0.41,0.495,0.905,0.404,2.67
22,박찬호,KIA,130,566,493,134,4,81,45,57,67,42,0.303,0.272,0.344,0.341,0.685,0.317,2.57
22,오재일,삼성,135,536,470,126,21,57,94,57,133,2,0.325,0.268,0.345,0.491,0.836,0.36,2.54
22,문성주,LG,106,390,327,99,6,55,41,51,36,9,0.325,0.303,0.401,0.422,0.823,0.377,2.5
22,김재환*,두산,128,517,448,111,23,64,72,61,133,2,0.297,0.248,0.34,0.46,0.8,0.352,2.44
22,전준우,롯데,120,517,470,143,11,73,68,35,73,6,0.334,0.304,0.35,0.445,0.795,0.351,2.4
22,알포드,KT,80,323,283,81,14,48,50,33,90,5,0.366,0.286,0.362,0.509,0.871,0.378,2.39
22,조용호,KT,131,531,474,146,3,52,44,49,74,5,0.358,0.308,0.374,0.382,0.756,0.347,2.27
22,류지혁,KIA,127,477,405,111,2,55,48,56,83,8,0.339,0.274,0.369,0.346,0.715,0.338,2.25
22,강민호,삼성,130,444,396,102,13,38,67,41,58,0,0.271,0.258,0.33,0.409,0.739,0.329,2.22
22,배정대,KT,144,575,508,135,6,64,56,54,126,19,0.339,0.266,0.339,0.356,0.695,0.321,2.18
22,유강남,LG,139,469,416,106,8,54,47,34,98,0,0.314,0.255,0.326,0.351,0.677,0.313,2.16
22,황재균,KT,141,581,519,136,10,59,64,53,99,6,0.306,0.262,0.335,0.378,0.713,0.323,2.11
22,김현준,삼성,118,422,363,100,0,57,22,45,80,6,0.353,0.275,0.365,0.35,0.715,0.337,2.09
22,김지찬,삼성,113,429,361,101,0,62,26,45,64,25,0.338,0.28,0.361,0.332,0.693,0.328,2.08
22,채은성,LG,126,526,467,138,12,48,83,28,88,6,0.333,0.296,0.354,0.437,0.791,0.353,2.06
22,최형우,KIA,132,530,454,120,14,55,70,73,92,1,0.303,0.264,0.366,0.421,0.787,0.355,2.04
22,노시환,한화,115,490,434,122,6,55,59,48,95,6,0.344,0.281,0.355,0.382,0.737,0.337,2
22,박민우,NC,104,451,390,104,4,61,39,42,55,21,0.299,0.267,0.351,0.359,0.71,0.326,1.97
22,김준태,KT,98,270,231,63,4,28,27,33,77,2,0.386,0.273,0.36,0.403,0.763,0.346,1.95
22,이창진,KIA,111,404,346,104,7,56,48,41,63,3,0.346,0.301,0.374,0.402,0.776,0.354,1.92
22,김주원,NC,96,326,273,61,10,35,47,32,89,10,0.293,0.223,0.331,0.388,0.719,0.334,1.9
22,최재훈,한화,114,437,364,81,5,38,30,44,65,1,0.257,0.223,0.339,0.302,0.641,0.313,1.84
22,고승민,롯데,92,262,234,74,5,31,30,25,47,1,0.377,0.316,0.381,0.453,0.834,0.374,1.68
22,김재성,삼성,63,185,161,54,3,16,26,18,40,0,0.421,0.335,0.402,0.453,0.855,0.385,1.64
22,강한울,삼성,93,252,226,73,1,31,26,20,48,4,0.402,0.323,0.375,0.398,0.773,0.352,1.63
22,구자욱,삼성,99,442,409,120,5,69,38,27,84,11,0.357,0.293,0.34,0.401,0.741,0.332,1.49
22,김휘집,Hero,112,393,333,74,8,40,36,39,115,0,0.308,0.222,0.326,0.336,0.662,0.313,1.46
22,김태군,삼성,102,235,205,61,2,20,25,17,34,0,0.343,0.298,0.358,0.38,0.738,0.338,1.41
22,손아섭,NC,138,617,548,152,4,72,48,59,76,7,0.312,0.277,0.347,0.367,0.714,0.327,1.4
22,강승호,두산,134,487,444,117,10,54,62,29,100,13,0.316,0.264,0.31,0.399,0.709,0.315,1.4
